rank,feature_id,feature_name,metric,value,dominant_dwelling_type,source,methodology_note
30,59150083,DA 59150083,housing_density,5240.0,APARTMENT_LT5,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Occupied private dwellings by structural type, directly from the Census Profile."
31,59150094,DA 59150094,housing_density,3962.5,APARTMENT_LT5,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Occupied private dwellings by structural type, directly from the Census Profile."
32,59150196,DA 59150196,housing_density,3900.0,ROW_HOUSE,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Occupied private dwellings by structural type, directly from the Census Profile."
33,59153965,DA 59153965,housing_density,3650.0,APARTMENT_5PLUS,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Occupied private dwellings by structural type, directly from the Census Profile."
34,59150195,DA 59150195,housing_density,3566.6667,ROW_HOUSE,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Occupied private dwellings by structural type, directly from the Census Profile."
35,59150074,DA 59150074,housing_density,3457.1429,ROW_HOUSE,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Occupied private dwellings by structural type, directly from the Census Profile."
36,59150185,DA 59150185,housing_density,3318.1818,APARTMENT_LT5,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Occupied private dwellings by structural type, directly from the Census Profile."
37,59153238,DA 59153238,housing_density,3283.3333,APARTMENT_LT5,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Occupied private dwellings by structural type, directly from the Census Profile."
38,59150089,DA 59150089,housing_density,3262.5,APARTMENT_LT5,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Occupied private dwellings by structural type, directly from the Census Profile."
39,59150201,DA 59150201,housing_density,3037.5,APARTMENT_LT5,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Occupied private dwellings by structural type, directly from the Census Profile."
40,59150184,DA 59150184,housing_density,2937.5,APARTMENT_LT5,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Occupied private dwellings by structural type, directly from the Census Profile."
41,59150093,DA 59150093,housing_density,2670.0,APARTMENT_LT5,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Occupied private dwellings by structural type, directly from the Census Profile."
42,59150141,DA 59150141,housing_density,2385.7143,APARTMENT_LT5,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Occupied private dwellings by structural type, directly from the Census Profile."
43,59150140,DA 59150140,housing_density,2377.7778,APARTMENT_LT5,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Occupied private dwellings by structural type, directly from the Census Profile."
44,59150204,DA 59150204,housing_density,2357.1429,ROW_HOUSE,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Occupied private dwellings by structural type, directly from the Census Profile."
45,59150079,DA 59150079,housing_density,2060.0,SINGLE_DETACHED,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Occupied private dwellings by structural type, directly from the Census Profile."
46,59153963,DA 59153963,housing_density,2040.0,APARTMENT_DUPLEX,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Occupied private dwellings by structural type, directly from the Census Profile."
47,59150090,DA 59150090,housing_density,2040.0,SEMI_DETACHED,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Occupied private dwellings by structural type, directly from the Census Profile."
48,59150099,DA 59150099,housing_density,2020.0,ROW_HOUSE,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Occupied private dwellings by structural type, directly from the Census Profile."
49,59150176,DA 59150176,housing_density,1981.8182,ROW_HOUSE,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Occupied private dwellings by structural type, directly from the Census Profile."
