icbc_location,crash_count,reason
CAPILANO RD & PAISLEY RD,17,fewer than 2 of the named streets are CNV streets
E 13TH ST & GRAND BLVD E,17,fewer than 2 of the named streets are CNV streets
E 27TH ST & MOUNTAIN HWY,17,fewer than 2 of the named streets are CNV streets
E KEITH RD & LILLOOET RD OFFRAMP & MOUNTAIN HWY ONRAMP & TRANS-CANADA HWY & TRANS-CANADA HWY ONRAMP,17,fewer than 2 of the named streets are CNV streets
EDGEMONT BLVD & RIDGEWOOD DR,17,fewer than 2 of the named streets are CNV streets
EDGEMONT BLVD & W QUEENS RD,17,fewer than 2 of the named streets are CNV streets
MOUNTAIN HWY & ROSS RD,17,fewer than 2 of the named streets are CNV streets
DEMPSEY RD & MOUNTAIN HWY,16,fewer than 2 of the named streets are CNV streets
E 17TH ST & GRAND BLVD E,16,fewer than 2 of the named streets are CNV streets
BROADVIEW DR & MT SEYMOUR PKY,15,fewer than 2 of the named streets are CNV streets
CAPILANO RD & WOODS DR & UNNAMED LANE,15,fewer than 2 of the named streets are CNV streets
E 24TH ST & EMERY PL & MOUNTAIN HWY,15,fewer than 2 of the named streets are CNV streets
E WINDSOR RD & LONSDALE AVE & W WINDSOR RD & ACCESS ROAD,15,fewer than 2 of the named streets are CNV streets
GALLANT AVE & PANORAMA DR,15,fewer than 2 of the named streets are CNV streets
LLOYD AVE & W 1ST ST,15,fewer than 2 of the named streets are CNV streets
MARINE DR # 001300 TO 001399,15,fewer than 2 street names parsed (mid-block record)
DOLLARTON HWY & ELLIS ST,14,fewer than 2 of the named streets are CNV streets
DOLLARTON HWY & FORESTER ST & TURNING LANE,14,fewer than 2 of the named streets are CNV streets
E 13TH ST # 000100 TO 000199,14,fewer than 2 street names parsed (mid-block record)
E OSBORNE RD & LONSDALE AVE & SANDRINGHAM CRES & W OSBORNE RD,14,fewer than 2 of the named streets are CNV streets
FREDERICK RD & MOUNTAIN HWY,14,fewer than 2 of the named streets are CNV streets
MARINE DR # 000901 TO 000969 odd,14,fewer than 2 street names parsed (mid-block record)
MCCARTNEY LANE & MT SEYMOUR PKY & TOLLCROSS RD,14,fewer than 2 of the named streets are CNV streets
MOUNTAIN HWY & OXFORD ST,14,fewer than 2 of the named streets are CNV streets
PEMBERTON AVE & W 16TH ST,14,fewer than 2 of the named streets are CNV streets
DEL RIO DR & W QUEENS RD & SERVICE ROAD,13,fewer than 2 of the named streets are CNV streets
E 29TH ST & REGENT AVE,13,fewer than 2 of the named streets are CNV streets
E KEITH RD & SUTHERLAND AVE,13,CNV street names but no matching CNV intersection
E KINGS RD & LONSDALE AVE & W KINGS RD,13,fewer than 2 of the named streets are CNV streets
GARDEN AVE & WELCH ST,13,fewer than 2 of the named streets are CNV streets
GLADWIN DR & LLOYD AVE & TRANS-CANADA HWY & TURNING LANE,13,fewer than 2 of the named streets are CNV streets
PANORAMA DR # 002396 TO 002901,13,fewer than 2 street names parsed (mid-block record)
W 15TH ST # 000120 TO 000175,13,fewer than 2 street names parsed (mid-block record)
W 2ND ST # 000120 TO 000199,13,fewer than 2 street names parsed (mid-block record)
W QUEENS RD & WOODBINE DR,13,fewer than 2 of the named streets are CNV streets
CARRIE CATES CRT # 000113 TO 000149,12,fewer than 2 street names parsed (mid-block record)
DOLLARTON HWY # 002000 TO 002198 even,12,fewer than 2 street names parsed (mid-block record)
E 14TH ST # 000121 TO 000199,12,fewer than 2 street names parsed (mid-block record)
E 15TH ST & GRAND BLVD E,12,fewer than 2 of the named streets are CNV streets
E 29TH ST & WILLIAM AVE,12,fewer than 2 of the named streets are CNV streets
LONSDALE AVE # 002000 TO 002099,12,fewer than 2 street names parsed (mid-block record)
MARINE DR # 000801 TO 000899 odd,12,fewer than 2 street names parsed (mid-block record)
MONTROYAL BLVD & RANGER AVE,12,fewer than 2 of the named streets are CNV streets
MOUNTAIN HWY & RUPERT ST,12,fewer than 2 of the named streets are CNV streets
MT SEYMOUR PKY & NORTHLANDS DR & TURNING LANE,12,fewer than 2 of the named streets are CNV streets
MT SEYMOUR PKY & STRATHAVEN DR,12,fewer than 2 of the named streets are CNV streets
3RD ST E & COTTON RD & LOW LEVEL RD,11,CNV street names but no matching CNV intersection
BERKLEY RD # 000900 TO 000999,11,fewer than 2 street names parsed (mid-block record)
E 29TH ST & ROYAL AVE & TEMPE GLEN DR,11,fewer than 2 of the named streets are CNV streets
E KEITH RD & GRAND BLVD W,11,fewer than 2 of the named streets are CNV streets
MT SEYMOUR PKY & PLYMOUTH DR,11,fewer than 2 of the named streets are CNV streets
W 3RD ST # 000600 TO 000699,11,fewer than 2 street names parsed (mid-block record)
CAPILANO RD & MONTROYAL BLVD,10,fewer than 2 of the named streets are CNV streets
CONNAUGHT CRES & EDGEMONT BLVD,10,fewer than 2 of the named streets are CNV streets
CRESCENTVIEW DR & EDGEMONT BLVD,10,fewer than 2 of the named streets are CNV streets
DOLLARTON HWY & SLEIL-WAUTUTH RD,10,fewer than 2 of the named streets are CNV streets
E 29TH ST & ST GEORGES AVE,10,fewer than 2 of the named streets are CNV streets
GROUSEWOODS DR & NANCY GREENE WAY,10,fewer than 2 of the named streets are CNV streets
HUNTER ST & MOUNTAIN HWY,10,fewer than 2 of the named streets are CNV streets
LONSDALE AVE # 001600 TO 001699,10,fewer than 2 street names parsed (mid-block record)
VICTORY SHIP WAY # 000156 TO 000199,10,fewer than 2 street names parsed (mid-block record)
W 1ST ST # 000116 TO 000139,10,fewer than 2 street names parsed (mid-block record)
W QUEENS RD # 000850 TO 000869,10,fewer than 2 street names parsed (mid-block record)
WESTVIEW DR # 002600 TO 002639,10,fewer than 2 street names parsed (mid-block record)
BEACHVIEW DR # 000600 TO 000999,9,fewer than 2 street names parsed (mid-block record)
CALEDONIA AVE # 002200 TO 002599,9,fewer than 2 street names parsed (mid-block record)
CAPILANO RD & HANDSWORTH RD,9,fewer than 2 of the named streets are CNV streets
E 13TH ST & GRAND BLVD W,9,fewer than 2 of the named streets are CNV streets
E 15TH ST # 000214 TO 000235,9,fewer than 2 street names parsed (mid-block record)
E 19TH ST & MOODY AVE,9,CNV street names but no matching CNV intersection
E 3RD ST # 000700 TO 000799,9,fewer than 2 street names parsed (mid-block record)
E ESPLANADE # 000200 TO 000263,9,fewer than 2 street names parsed (mid-block record)
E OSBORNE RD & ST GEORGES AVE,9,fewer than 2 of the named streets are CNV streets
EDGEMONT BLVD # 003000 TO 003060,9,fewer than 2 street names parsed (mid-block record)
EDGEMONT BLVD # 003200 TO 003269,9,fewer than 2 street names parsed (mid-block record)
GARDEN AVE & HOPE RD,9,fewer than 2 of the named streets are CNV streets
GARDEN AVE & W 1ST ST & ACCESS ROAD,9,fewer than 2 of the named streets are CNV streets
INDIAN RIVER DR & MT SEYMOUR RD,9,fewer than 2 of the named streets are CNV streets
LONSDALE AVE # 001100 TO 001199,9,fewer than 2 street names parsed (mid-block record)
LYNN VALLEY RD & ROSS RD,9,fewer than 2 of the named streets are CNV streets
MAIN ST # 001500 TO 001519,9,fewer than 2 street names parsed (mid-block record)
OXFORD ST # 001500 TO 001589,9,fewer than 2 street names parsed (mid-block record)
PEMBERTON AVE # 000000 TO 000050,9,fewer than 2 street names parsed (mid-block record)
SEYMOUR BLVD # 000315 TO 000399,9,fewer than 2 street names parsed (mid-block record)
ALLAN RD & LYNN VALLEY RD,8,fewer than 2 of the named streets are CNV streets
BROOKSBANK AVE # 000300 TO 000349,8,fewer than 2 street names parsed (mid-block record)
BROWNING PL & MT SEYMOUR PKY,8,fewer than 2 of the named streets are CNV streets
CAPILANO RD # 002650 TO 002699,8,fewer than 2 street names parsed (mid-block record)
COLWOOD DR & HIGHLAND BLVD & RIDGEWOOD DR,8,fewer than 2 of the named streets are CNV streets
COLWOOD DR & W QUEENS RD,8,fewer than 2 of the named streets are CNV streets
E 14TH ST & MOUNTAIN HWY & UNNAMED LANE,8,fewer than 2 of the named streets are CNV streets
E 15TH ST & GRAND BLVD W,8,fewer than 2 of the named streets are CNV streets
E 16TH ST & MOUNTAIN HWY,8,fewer than 2 of the named streets are CNV streets
E BRAEMAR RD & LONSDALE AVE & W BRAEMAR RD,8,fewer than 2 of the named streets are CNV streets
E OSBORNE RD & REGENT AVE,8,fewer than 2 of the named streets are CNV streets
FERN ST & MOUNTAIN HWY,8,fewer than 2 of the named streets are CNV streets
LLOYD AVE & ROOSEVELT CRES & W 15TH ST,8,fewer than 2 of the named streets are CNV streets
LONSDALE AVE # 001300 TO 001399,8,fewer than 2 street names parsed (mid-block record)
LONSDALE AVE # 001500 TO 001599,8,fewer than 2 street names parsed (mid-block record)
LYNN VALLEY RD & PETERS RD,8,fewer than 2 of the named streets are CNV streets
MARINE DR # 001042 TO 001099,8,fewer than 2 street names parsed (mid-block record)
MARINE DR # 001700 TO 001799,8,fewer than 2 street names parsed (mid-block record)
MONTROYAL BLVD & SKYLINE DR,8,fewer than 2 of the named streets are CNV streets
MOUNTAIN HWY # 001076 TO 001399,8,fewer than 2 street names parsed (mid-block record)
PEMBERTON AVE # 000150 TO 000299,8,fewer than 2 street names parsed (mid-block record)
BEAUFORT RD & MT SEYMOUR PKY,7,fewer than 2 of the named streets are CNV streets
BEWICKE AVE & W QUEENS RD,7,fewer than 2 of the named streets are CNV streets
CAPILANO PARK RD & CAPILANO RD & MOUNT CROWN RD,7,fewer than 2 of the named streets are CNV streets
CAPILANO RD # 002500 TO 002581,7,fewer than 2 street names parsed (mid-block record)
CAPILANO RD # 003486 TO 003859,7,fewer than 2 street names parsed (mid-block record)
CHADWICK CRT # 000130 TO 000199,7,fewer than 2 street names parsed (mid-block record)
CHARLOTTE RD & MOUNTAIN HWY,7,fewer than 2 of the named streets are CNV streets
CHESTERFIELD AVE & W QUEENS RD,7,fewer than 2 of the named streets are CNV streets
COTTON RD & MAIN ST,7,fewer than 2 of the named streets are CNV streets
DEEP COVE RD & STRATHCONA RD,7,fewer than 2 of the named streets are CNV streets
DELBROOK AVE & EVERGREEN PL,7,fewer than 2 of the named streets are CNV streets
DOVERCOURT RD & HOSKINS RD & LYNN VALLEY RD,7,fewer than 2 of the named streets are CNV streets
E 18TH ST & MOUNTAIN HWY,7,fewer than 2 of the named streets are CNV streets
E 1ST ST # 000100 TO 000119,7,fewer than 2 street names parsed (mid-block record)
E 1ST ST # 000200 TO 000299,7,fewer than 2 street names parsed (mid-block record)
E 3RD ST # 000600 TO 000699,7,fewer than 2 street names parsed (mid-block record)
LIBRARY LANE # 002630 TO 002670,7,fewer than 2 street names parsed (mid-block record)
